qstr_1164|Dummy first line
qstr_chaos_chariot_tablea|混 沌 战 车 画 面 
qstr_chaos_chariot_tableau|混 沌 战 车 画 面 1
qstr_chaos_chariot_tableau.|混 沌 战 车 画 面 2
qstr_chaos_chariot_tableau.3|混 沌 战 车 画 面 3
qstr_chaos_chariot_tableau.4|混 沌 战 车 画 面 4
qstr_chaos_chariot_tableau.5|混 沌 战 车 画 面 5
qstr_chaos_chariot_horse|混 沌 战 车 马 匹 
qstr_chaos_chariot_horse.|混 沌 战 车 马 匹 1
qstr_boar|野 猪
qstr_tusk|獠 牙
qstr_highelf_warhorse|高 等 精 灵 战 马
qstr_skeletal_horse|骷 髅 战 马
qstr_wolf|狼
qstr_coldonenew|coldonenew
qstr_potion_belt_{reg6}|药 水 腰 带 {reg6}
qstr_Your_jezzail_jams_an|你 的 火 枪 卡 壳 了，这 次 装 弹 时 间 会 更 长。
qstr_Your_jezzail_malfunc|你 的 火 枪 发 生 故 障，无 法 使 用。
qstr_Your_immune_system_h|你 的 免 疫 系 统 抵 抗 了 毒 素。
qstr_You_have_been_poison|你 已 中 毒 {reg33?:}
qstr_{s1}_has_been_poison|{s1} 中 毒 了 
qstr_ghost_hair_a_on_head|头 部 幽 灵 发 型 A
qstr_ghost_hair_b_on_head|头 部 幽 灵 发 型 B
qstr_ghost_hair_c_on_head|头 部 幽 灵 发 型 C
qstr_ghost_hair_d_on_head|头 部 幽 灵 发 型 D
qstr_ghost_hair_e_on_head|头 部 幽 灵 发 型 E
qstr_ghost_hair_f_on_head|头 部 幽 灵 发 型 F
qstr_ghost_hair_g_on_head|头 部 幽 灵 发 型 G
qstr_ghost_hair_green_a_o|头 部 绿 色 幽 灵 发 型 A
qstr_ghost_hair_green_b_o|头 部 绿 色 幽 灵 发 型 B
qstr_ghost_hair_green_c_o|头 部 绿 色 幽 灵 发 型 C
qstr_ghost_hair_green_d_o|头 部 绿 色 幽 灵 发 型 D
qstr_ghost_hair_green_e_o|头 部 绿 色 幽 灵 发 型 E
qstr_ghost_hair_green_f_o|头 部 绿 色 幽 灵 发 型 F
qstr_ghost_hair_green_g_o|头 部 绿 色 幽 灵 发 型 G
qstr_leather_boots_undead|亡 灵 海 盗 左 脚 皮 靴
qstr_leather_boots_undead_|亡 灵 海 盗 右 脚 皮 靴
qstr_pirate_body_undead_t|亡 灵 海 盗 长 裤
qstr_pirate_body_undead_tr|亡 灵 海 盗 长 裤 2
qstr_pirate_body_undead_b|亡 灵 海 盗 腰 带
qstr_pirate_body_undead_s|亡 灵 海 盗 衬 衫 1
qstr_pirate_body_undead_sh|亡 灵 海 盗 衬 衫 2
qstr_pirate_body_undead_shi|亡 灵 海 盗 衬 衫 3
qstr_pirate_body_undead_shir|亡 灵 海 盗 衬 衫 4
qstr_pirate_undead_bandol|亡 灵 海 盗 弹 药 带 1
qstr_pirate_undead_bandoli|亡 灵 海 盗 弹 药 带 2
qstr_pirate_rogue_undead_|亡 灵 海 盗 恶 棍 长 裤
qstr_pirate_rogue_undead_b|亡 灵 海 盗 恶 棍 腰 带
qstr_pirate_rogue_undead_s|亡 灵 海 盗 恶 棍 衬 衫
qstr_pirate_seaman_undead|亡 灵 海 盗 水 手 长 裤
qstr_pirate_seaman_undead_|亡 灵 海 盗 水 手 腰 带
qstr_pirate_seaman_undead_s|亡 灵 海 盗 水 手 衬 衫 1
qstr_pirate_seaman_undead_sh|亡 灵 海 盗 水 手 衬 衫 2
qstr_pirate_seaman_undead_shi|亡 灵 海 盗 水 手 衬 衫 3
qstr_pirate_seaman_undead_shir|亡 灵 海 盗 水 手 衬 衫 4
qstr_pirate_rogue_undead_t|亡 灵 海 盗 恶 棍 长 裤 2
qstr_pirate_rogue_undead_ba|亡 灵 海 盗 恶 棍 头 巾
qstr_dicey_daemon_nurgle_|dicey daemon nurgle nurgling 1
qstr_dicey_daemon_nurgle_n|dicey daemon nurgle nurgling 2
qstr_dicey_daemon_nurgle_nu|dicey daemon nurgle nurgling 3
qstr_Misfire!|哑 火！
qstr_{playername}_has_cas|{playername} 施 放 了 时 光 之 锤。
qstr_{playername}_has_cast|{playername} 施 放 了 绯 红 弯 刀
qstr_{playername}_has_cast_|{playername} 施 放 了 紫 晶 镰 刀
qstr_{s1}_has_cast_Plague|{s1}施 放 了 锈 蚀 瘟 疫。敌 军 的 护 甲 已 被 瓦 解。
qstr_{s1}_has_cast_enchan|{s1}施 放 了 艾 班 之 刃 附 魔。附 近 友 军 的 战 斗 力 增 强。
qstr_{s1}_has_cast_glitte|{s1}施 放 了 闪 耀 长 袍。附 近 的 友 军 部 队 获 得 了 伤 害 抗 性。
qstr_{s1}_has_cast_transm|{s1}施 放 了 铅 之 炼 金 术。受 影 响 的 敌 军 移 动 速 度 和 战 斗 力 被 削 弱。
qstr_{s1}_has_cast_final_|{s1} 施 放 了 终 极 炼 金 术。未 能 抵 抗 的 敌 军 将 被 立 即 杀 死。
qstr_{s1}_has_cast_awaken|{s1}施 放 了 森 林 复 苏。半 径 范 围 内 的 敌 军 受 到 伤 害。
