dlga_1164|Dummy first line
dlga_id:dwarf_event_choose|多 谢 你，{reg33?女 士 :先 生 }。你 救 了 我 的 命，这 份 恩 情 不 能 不 报。父 亲 留 给 我 一 张 古 老 的 藏 宝 图，如 今 便 赠 予 你。图 上 还 有 几 处 以 卡 扎 利 德 语—— 旧 世 界 矮 人 的 语 言—— 写 成 的 注 记。^^此 外，你 还 可 以 从 我 的 货 物 中 任 选 一 笔 金 币，或 一 件 随 机 武 器。你 想 要 哪 一 样？
dlga_id:close_window|我 选 择 黄 金。
dlga_id:close_window.1|我 选 择 武 器。
dlga_id:evil_robbed_intro|愿 纳 垢 赐 福 于 你，{playername}。新 时 代 的 曙 光 即 将 降 临。我 们 的 事 业 虽 日 益 强 盛，敌 人 却 也 同 样 强 大；眼 下，我 们 需 要 你 的 帮 助。
dlga_id:evil_robbed_main|你 们 所 图 为 何？又 为 何 需 要 我？
dlga_id:evil_robbed_main2|我 们 的 事 业，便 是 让 纳 垢 的 意 志 得 以 实 现：将 慈 父 的 爱 洒 遍 大 地，并 使 一 切 不 信 者 皈 依。
dlga_id:evil_robbed_possessed|最 近，马 尔 德 雷 克 斯 领 主 的 到 来 令 信 徒 们 群 情 激 昂。他 是 纳 垢 的 冠 军，也 是 我 们 所 见 之 人 中 最 接 近 伟 大 慈 父 的 一 位。
dlga_id:evil_robbed_possessed2|他 能 直 接 与 我 们 的 慈 父 沟 通；有 些 人 甚 至 声 称，纳 垢 会 借 马 尔 德 雷 克 斯 之 口 降 下 谕 旨。近 日，马 尔 德 雷 克 斯 不 断 预 言 一 场 大 瘟 疫—— 它 将 席 卷 并 感 染 人 类 的 大 半 疆 土。
dlga_id:evil_robbed_possessed3|可 惜，巴 托 尼 亚 人 察 觉 了 这 场 谋 划，派 出 他 们 的 英 雄 爵 士 及 麾 下 骑 士 大 军 将 他 擒 获。我 们 猝 不 及 防。如 今，他 被 囚 禁 在 巴 托 尼 亚 海 岸 附 近，正 等 待 处 决。
dlga_id:evil_robbed_answer|他 们 会 先 设 法 摧 垮 他 的 意 志—— 当 然，他 们 绝 不 可 能 成 功。因 此 我 们 尚 有 一 点 时 间，但 已 所 剩 无 几。你 愿 意 助 我 一 臂 之 力 吗？若 能 成 功，我 必 有 重 赏。
dlga_id:evil_robbed_agree|只 要 能 让 巴 托 尼 亚 人 血 流 成 河，这 桩 差 事 便 值 得 一 接。我 会 救 出 你 们 的 冠 军。
dlga_id:evil_robbed_options|你 所 说 的 重 赏，究 竟 是 什 么？
dlga_id:close_window_2|这 是 纳 垢 的 麻 烦，与 我 无 关。或 许 你 该 去 求 永 世 神 选 出 手。
dlga_id:evil_robbed_ask|只 要 你 替 我 办 成 此 事，我 便 赏 你 一 件 随 机 特 殊 物 品，或 7500枚 金 币。对 任 何 战 士 而 言，这 都 是 一 笔 厚 赏。现 在，你 意 下 如 何？
dlga_id:evil_robbed_agree_2|很 好，我 会 助 你 救 出 你 们 的 冠 军。
dlga_id:close_window_3|这 是 纳 垢 的 麻 烦，与 我 无 关。或 许 你 该 去 求 永 世 神 选 出 手。
dlga_id:close_window_4|多 谢 你，{playername}。我 的 间 谍 会 盯 紧 那 座 营 地，若 他 们 转 移 囚 犯，我 会 立 刻 得 知。救 出 马 尔 德 雷 克 斯，事 成 之 后 我 自 会 来 找 你。
