str_1164|Dummy first line
str_id_1|无 字 符 串！
str_id_2|
str_id_3|是
str_id_4|否
str_id_5|
str_id_7|无 人
str_id_12|{s50} 和 {s51}
str_id_14|{s52} 和 {s51}
str_id_15|{s5} 的 部 队
str_id_16|{s2} 的 {s1} 给 予
str_id_17|野 外 的 {s1} 给 予
str_id_18|{s7} 掠 夺 者
str_id_19|难 对 付 的 强 盗 被 别 的 队 伍 消 灭 了。
str_id_20|战 斗 胜 利！按 TAB键 离 开……
str_id_21|你 现 在 正 在 大 地 图 上。左 键 点 击 地 图，可 令 部 队 前 往 指 定 地 点、进 入 选 中 的 城 镇，或 追 击 选 中 的 队 伍。部 队 未 在 移 动、等 待 或 休 息 时，大 地 图 上 的 时 间 会 暂 停。想 在 任 意 地 点 等 待，只 需 按 住 空 格 键。
str_id_22|未 使 用 Warband Script Extender 2时，本 模 组 将 无 法 正 常 运 行。请 将 WSE2安 装 至 Mount&Blade Warband主 目 录，并 通 过 wse2_launcher.exe启 动 游 戏。^^搜 索“Warsword Conquest Wiki Install Guide”可 查 看 安 装 说 明。
str_id_28|随 机
str_id_55|冲 锋
str_id_56|颜 色
str_id_57|水 平 翻 转
str_id_58|垂 直 翻 转
str_id_59|停 火
str_id_60|钝 器 /停 止 射 击
str_id_61|弹 药 已 补 满。
str_id_62|这 一 次 你 被 击 败 了，不 过 别 灰 心。仔 细 按 照 提 示 操 作，下 次 一 定 会 做 得 更 好。按 Tab键 返 回 菜 单，即 可 重 试 本 教 程。
str_id_109|(完 成)
str_id_110|造 成 {reg60}点 伤 害。
str_id_111|距 离：{reg61}码。得 分：{reg60}
str_id_112|战 斗 中 可 通 过 出 生 点 附 近 的 行 囊 打 开 物 品 栏。
str_id_113|现 在 无 法 访 问 库 存。
str_id_114|竞 技 场 中 无 法 访 问 库 存。
str_id_115|伪 装 时 无 法 访 问 库 存。
str_id_116|训 练 营 中 无 法 访 问 库 存。
str_id_117|1金 币
str_id_118|{reg1}金 币
str_id_119|{reg2}年 夜 巫 月 {reg1}日
str_id_120|{reg2}年 2月 {reg1}日
str_id_121|{reg2}年 3月 {reg1}日
str_id_122|{reg2}年 4月 {reg1}日
str_id_123|{reg2}年 5月 {reg1}日
str_id_124|{reg2}年 6月 {reg1}日
str_id_125|{reg2}年 7月 {reg1}日
str_id_126|{reg2}年 8月 {reg1}日
str_id_127|{reg2}年 9月 {reg1}日
str_id_128|{reg2}年 寒 月 {reg1}日
str_id_129|{reg2}年 11月 {reg1}日
str_id_130|{reg2}年 12月 {reg1}日
str_id_131|夜 已 深，安 分 守 己 的 人 早 已 离 开 街 道。
str_id_132|门 锁 上 了。
str_id_133|城 堡 里 似 乎 没 人。
str_id_134|镇 子 无 人 驻 防。
str_id_135|这 里 被 你 自 己 的 部 队 把 守 着。
str_id_136|该 地 点 由 敌 对 部 队 控 制。
str_id_137|该 地 点 由 友 好 部 队 控 制。
str_id_138|你 确 定 要 撤 退 吗？
str_id_139|放 弃 战 斗？
str_id_140|你 想 要 离 开 教 程 吗？
str_id_141|你 想 投 降 吗？
str_id_142|不 能 撤 退！附 近 有 敌 人。
str_id_143|敌 方 {s1} 加 入 战 斗。
