menu_1164|Dummy first line
menu_id_1|欢 迎 来 到《中 古 战 锤：战 剑 征 服》，冒 险 者。在 踏 上 征 途 之 前，你 必 须 先 创 建 角 色。首 先，请 选 择 角 色 的 物 种 或 种 族。
mno_id_1|{s2}
mno_id_2|返 回
mno_id_3|快 速 开 始 测 试 
menu_id_2|你 生 活 在 旧 世 界—— 一 片 被 诸 国 与 诸 族 撕 裂、为 争 夺 霸 权 而 永 无 休 止 厮 杀 的 土 地。骑 士、佣 兵、亡 命 徒 与 冒 险 家 汇 聚 于 此，无 不 愿 为 财 富、权 势 或 荣 耀 赌 上 性 命……你 深 吸 一 口 气，开 始 谋 划 自 己 的 未 来。你 或 许 会 成 为 骁 勇 的 战 士、富 有 的 商 人、声 名 赫 赫 的 佣 兵、竞 技 大 会 冠 军、一 方 领 主，甚 至 登 上 王 座。无 论 命 运 将 你 引 向 其 中 哪 条 道 路，抑 或 让 你 兼 得 数 种 身 份，你 都 必 须 果 敢 无 畏，并 精 通 战 争 之 道。为 前 方 的 冒 险 做 好 准 备 吧。命 运 掌 握 在 你 手 中；若 没 有 足 以 取 胜 的 力 量 与 技 艺，你 终 将 只 是 万 千 无 名 亡 魂 中 的 一 个。
mno_id_4|前 往 西 格 玛 帝 国 的 阿 尔 道 夫 
mno_id_5|起 始 于 矮 人 王 国 的 卡 拉 克 · 卡 德 林。
mno_id_6|前 往 夜 地 精 领 地 的 血 角 山 
mno_id_7|前 往 绿 皮 兽 人 的 葛 罗 姆 峰 
mno_id_8|随 商 队 前 往 古 墓 王 帝 国 的 喀 穆 里。
mno_id_9|随 商 队 前 往 大 计 划 守 护 者 的 斯 兰 雾 佩 克。
mno_id_10|坐 船 前 往 高 等 精 灵 的 洛 瑟 恩 
mno_id_11|前 往 巴 托 尼 亚 王 国 的 哥 隆 尼 
mno_id_12|前 往 混 沌 勇 士 的 瓦 纳 海 姆
mno_id_13|起 始 于 斯 卡 文 鼠 人 地 下 世 界 的 魔 鼠 废 都。
mno_id_14|前 往 黑 暗 精 灵 的 克 拉 卡 隆 德 
mno_id_15|前 往 混 沌 矮 人 殖 民 地 的 大 奥 格 姆
mno_id_16|从 野 兽 人 的 巨 角 城 开 始
mno_id_17|起 始 于 吸 血 鬼 海 岸 的 盐 沼 镇。
mno_id_18|起 始 于 吸 血 鬼 伯 爵 的 城 镇 邓 肯 霍 夫。
mno_id_19|更 多 选 项。
mno_id_20|起 始 于 艾 索 罗 伦 的 首 都 君 王 林。
mno_id_21|起 始 于 阿 拉 比 苏 丹 国 的 拉 新 科。
mno_id_22|从 基 斯 里 夫 沙 皇 国 的 基 斯 里 夫 城 开 始
mno_id_23|起 始 于 尼 朋 殖 民 地 在 新 大 陆 最 大 的 定 居 点 渠 港。
mno_id_24|从 半 身 人 的 卢 根 巴 特 尔 开 始
mno_id_25|上 一 页 选 项。
menu_id_3|选 择 剧 本：
menu_id_4|角 色 声 望：{reg5}^角 色 荣 誉：{reg6}^部 队 士 气：{reg8}^部 队 人 数 上 限：{reg7}^{s1}
mno_id_28|查 看 兵 种 树。
mno_id_29|查 看 角 色 报 告。
mno_id_30|查 看 部 队 人 数 上 限 报 告。
mno_id_31|查 看 同 伴 任 务 报 告。
mno_id_32|查 看 每 周 预 算 报 告。
mno_id_33|查 看 部 队 士 气 报 告。
mno_id_34|查 看 派 系 关 系 报 告。
mno_id_35|按 关 系 查 看 已 知 领 主 列 表。
mno_id_36|查 看 关 联 家 族 成 员 /配 偶 报 告。
mno_id_37|查 看 求 偶 关 系。
mno_id_39|参 考 资 料 
mno_id_40|继 续 旅 行。
